date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,500ETF,Spot ETF,ew,-0.6996,0.7,0.0,0,0.001398,0.0,0.0,0.0,0.0
2022-01-05,500ETF,Spot ETF,ew,-0.9982,0.7,0.0,0,-0.006532,0.0,0.0,0.0,0.0
2022-01-06,500ETF,Spot ETF,ew,0.0791,0.7,0.0,0,0.002745,0.0,0.0,0.0,0.0
2022-01-07,500ETF,Spot ETF,ew,0.6802,0.7,0.0,0,-0.010681,0.0,0.0,0.0,0.0
2022-01-10,500ETF,Spot ETF,ew,-0.8245,0.7,0.0,0,0.005297,0.0,0.0,0.0,0.0
2022-01-11,500ETF,Spot ETF,ew,0.3775,0.7,0.0,0,-0.00844,0.0,0.0,0.0,0.0
2022-01-12,500ETF,Spot ETF,ew,0.1721,0.7,0.0,0,0.003935,0.0,0.0,0.0,0.0
2022-01-13,500ETF,Spot ETF,ew,-1.2795,0.7,-1.0,1,-0.006838,0.00535,0.0008,0.00455,0.00455
2022-01-14,500ETF,Spot ETF,ew,-0.4151,0.7,0.0,0,0.00023,0.0,0.0,0.0,0.00455
2022-01-17,500ETF,Spot ETF,ew,0.6603,0.7,0.0,0,0.005787,0.0,0.0,0.0,0.00455
2022-01-18,500ETF,Spot ETF,ew,-0.5838,0.7,0.0,0,-0.003008,0.0,0.0,0.0,0.00455
2022-01-19,500ETF,Spot ETF,ew,0.8479,0.7,1.0,1,-0.009514,-0.009799,0.0008,-0.010599,-0.006049
2022-01-20,500ETF,Spot ETF,ew,-0.1769,0.7,0.0,0,-0.006493,0.0,0.0,0.0,-0.006049
2022-01-21,500ETF,Spot ETF,ew,-1.1685,0.7,0.0,0,-0.005028,0.0,0.0,0.0,-0.006049
2022-01-24,500ETF,Spot ETF,ew,0.3922,0.7,0.0,0,0.003186,0.0,0.0,0.0,-0.006049
2022-01-25,500ETF,Spot ETF,ew,-0.0399,0.7,0.0,0,-0.021122,0.0,0.0,0.0,-0.006049
2022-01-26,500ETF,Spot ETF,ew,0.8808,0.7,1.0,1,0.003795,0.000922,0.0008,0.000122,-0.005927
2022-01-27,500ETF,Spot ETF,ew,-0.5738,0.7,0.0,0,-0.015741,0.0,0.0,0.0,-0.005927
2022-01-28,500ETF,Spot ETF,ew,-1.2086,0.7,-1.0,1,0.00591,-0.002704,0.0008,-0.003504,-0.009431
2022-02-07,500ETF,Spot ETF,ew,0.8806,0.7,1.0,1,-0.002989,-0.003468,0.0008,-0.004268,-0.0137
2022-02-08,500ETF,Spot ETF,ew,-0.769,0.7,0.0,0,0.004553,0.0,0.0,0.0,-0.0137
2022-02-09,500ETF,Spot ETF,ew,0.8997,0.7,1.0,1,0.014388,0.01399,0.0008,0.01319,-0.00051
2022-02-10,500ETF,Spot ETF,ew,0.0544,0.7,0.0,0,-0.001402,0.0,0.0,0.0,-0.00051
2022-02-11,500ETF,Spot ETF,ew,0.3356,0.7,0.0,0,-0.01052,0.0,0.0,0.0,-0.00051
2022-02-14,500ETF,Spot ETF,ew,0.3028,0.7,0.0,0,-0.012567,0.0,0.0,0.0,-0.00051
2022-02-15,500ETF,Spot ETF,ew,-0.0175,0.7,0.0,0,0.001156,0.0,0.0,0.0,-0.00051
2022-02-16,500ETF,Spot ETF,ew,-0.7202,0.7,0.0,0,-0.002921,0.0,0.0,0.0,-0.00051
2022-02-17,500ETF,Spot ETF,ew,-1.1315,0.7,0.0,0,0.001675,0.0,0.0,0.0,-0.00051
2022-02-18,500ETF,Spot ETF,ew,1.1384,0.7,1.0,1,0.004937,0.004322,0.0008,0.003522,0.003012
2022-02-21,500ETF,Spot ETF,ew,-0.2262,0.7,0.0,0,0.000761,0.0,0.0,0.0,0.003012
2022-02-22,500ETF,Spot ETF,ew,-1.4075,0.7,-1.0,1,0.000627,-0.000395,0.0008,-0.001195,0.001818
2022-02-23,500ETF,Spot ETF,ew,1.2107,0.7,1.0,1,0.007364,0.007302,0.0008,0.006502,0.00832
2022-02-24,500ETF,Spot ETF,ew,0.0986,0.7,0.0,0,-0.022444,0.0,0.0,0.0,0.00832
2022-02-25,500ETF,Spot ETF,ew,1.3948,0.7,1.0,1,-0.009009,-0.008942,0.0008,-0.009742,-0.001423
2022-02-28,500ETF,Spot ETF,ew,-0.4675,0.7,0.0,0,0.006156,0.0,0.0,0.0,-0.001423
2022-03-01,500ETF,Spot ETF,ew,0.5995,0.7,0.0,0,-0.001616,0.0,0.0,0.0,-0.001423
2022-03-02,500ETF,Spot ETF,ew,-0.5023,0.7,0.0,0,0.004522,0.0,0.0,0.0,-0.001423
2022-03-03,500ETF,Spot ETF,ew,-0.8583,0.7,0.0,0,-0.002885,0.0,0.0,0.0,-0.001423
2022-03-04,500ETF,Spot ETF,ew,-0.9374,0.7,0.0,0,-0.007584,0.0,0.0,0.0,-0.001423
2022-03-07,500ETF,Spot ETF,ew,-1.5655,0.7,-1.0,1,-0.011317,0.011248,0.0008,0.010448,0.009025
2022-03-08,500ETF,Spot ETF,ew,-0.794,0.7,0.0,0,-0.018912,0.0,0.0,0.0,0.009025
2022-03-09,500ETF,Spot ETF,ew,-0.3733,0.7,0.0,0,-0.027221,0.0,0.0,0.0,0.009025
2022-03-10,500ETF,Spot ETF,ew,0.0063,0.7,0.0,0,-0.000684,0.0,0.0,0.0,0.009025
2022-03-11,500ETF,Spot ETF,ew,-0.7651,0.7,0.0,0,0.016664,0.0,0.0,0.0,0.009025
2022-03-14,500ETF,Spot ETF,ew,0.8888,0.7,1.0,1,-0.018049,-0.019367,0.001,-0.020367,-0.011341
2022-03-15,500ETF,Spot ETF,ew,-1.8097,0.7,-1.0,1,-0.015537,0.003192,0.001,0.002192,-0.009149
2022-03-16,500ETF,Spot ETF,ew,-1.3099,0.7,-1.0,1,0.02651,0.00525,0.001,0.00425,-0.004899
2022-03-17,500ETF,Spot ETF,ew,1.1162,0.7,1.0,1,0.004047,0.005705,0.0008,0.004905,7e-06
2022-03-18,500ETF,Spot ETF,ew,1.0433,0.7,1.0,1,0.008807,0.0091,0.0008,0.0083,0.008306
2022-03-21,500ETF,Spot ETF,ew,0.1823,0.7,0.0,0,-0.003956,0.0,0.0,0.0,0.008306
2022-03-22,500ETF,Spot ETF,ew,-0.778,0.7,0.0,0,-0.001002,0.0,0.0,0.0,0.008306
2022-03-23,500ETF,Spot ETF,ew,0.0098,0.7,0.0,0,0.003878,0.0,0.0,0.0,0.008306
2022-03-24,500ETF,Spot ETF,ew,-1.0598,0.7,0.0,0,3.4e-05,0.0,0.0,0.0,0.008306
2022-03-25,500ETF,Spot ETF,ew,0.2031,0.7,0.0,0,-0.011024,0.0,0.0,0.0,0.008306
2022-03-28,500ETF,Spot ETF,ew,-0.922,0.7,0.0,0,0.006369,0.0,0.0,0.0,0.008306
2022-03-29,500ETF,Spot ETF,ew,0.3092,0.7,0.0,0,-0.011935,0.0,0.0,0.0,0.008306
2022-03-30,500ETF,Spot ETF,ew,0.8869,0.7,1.0,1,0.009534,0.009449,0.0008,0.008649,0.016955
2022-03-31,500ETF,Spot ETF,ew,0.1557,0.7,0.0,0,-0.006331,0.0,0.0,0.0,0.016955
2022-04-01,500ETF,Spot ETF,ew,0.6343,0.7,0.0,0,0.006681,0.0,0.0,0.0,0.016955
2022-04-06,500ETF,Spot ETF,ew,-1.3915,0.7,-1.0,1,0.003287,-0.001407,0.0008,-0.002207,0.014748
2022-04-07,500ETF,Spot ETF,ew,0.7549,0.7,1.0,1,-0.016093,-0.018085,0.0008,-0.018885,-0.004137
2022-04-08,500ETF,Spot ETF,ew,-0.6785,0.7,0.0,0,0.007415,0.0,0.0,0.0,-0.004137
2022-04-11,500ETF,Spot ETF,ew,-1.5342,0.7,-1.0,1,-0.021706,0.019693,0.0008,0.018893,0.014756
2022-04-12,500ETF,Spot ETF,ew,-0.1966,0.7,0.0,0,0.016761,0.0,0.0,0.0,0.014756
2022-04-13,500ETF,Spot ETF,ew,-1.3602,0.7,-1.0,1,0.000268,-0.003084,0.0008,-0.003884,0.010872
