date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,500ETF,Spot ETF,rank,-0.7961,0.8,0.0,0,0.001398,0.0,0.0,0.0,0.0
2022-01-05,500ETF,Spot ETF,rank,-1.1167,0.8,0.0,0,-0.006532,-0.0,0.0,-0.0,0.0
2022-01-06,500ETF,Spot ETF,rank,-0.15,0.8,0.0,0,0.002745,0.0,0.0,0.0,0.0
2022-01-07,500ETF,Spot ETF,rank,0.7751,0.8,0.0,0,-0.010681,-0.0,0.0,-0.0,0.0
2022-01-10,500ETF,Spot ETF,rank,-0.6789,0.8,0.0,0,0.005297,0.0,0.0,0.0,0.0
2022-01-11,500ETF,Spot ETF,rank,0.2794,0.8,0.0,0,-0.00844,-0.0,0.0,-0.0,0.0
2022-01-12,500ETF,Spot ETF,rank,0.2429,0.8,0.0,0,0.003935,0.0,0.0,0.0,0.0
2022-01-13,500ETF,Spot ETF,rank,-1.1991,0.8,0.0,0,-0.006838,-0.0,0.0,-0.0,0.0
2022-01-14,500ETF,Spot ETF,rank,-0.4841,0.8,0.0,0,0.00023,0.0,0.0,0.0,0.0
2022-01-17,500ETF,Spot ETF,rank,0.9389,0.8,1.0,1,0.005787,0.005787,0.0008,0.004987,0.004987
2022-01-18,500ETF,Spot ETF,rank,-0.4405,0.8,0.0,0,-0.003008,-0.0,0.0008,-0.0008,0.004187
2022-01-19,500ETF,Spot ETF,rank,0.6046,0.8,0.0,0,-0.009514,-0.0,0.0,-0.0,0.004187
2022-01-20,500ETF,Spot ETF,rank,-0.3576,0.8,0.0,0,-0.006493,-0.0,0.0,-0.0,0.004187
2022-01-21,500ETF,Spot ETF,rank,-1.0718,0.8,0.0,0,-0.005028,-0.0,0.0,-0.0,0.004187
2022-01-24,500ETF,Spot ETF,rank,-0.0205,0.8,0.0,0,0.003186,0.0,0.0,0.0,0.004187
2022-01-25,500ETF,Spot ETF,rank,-0.3646,0.8,0.0,0,-0.021122,-0.0,0.0,-0.0,0.004187
2022-01-26,500ETF,Spot ETF,rank,0.9815,0.8,1.0,1,0.003795,0.003795,0.0008,0.002995,0.007182
2022-01-27,500ETF,Spot ETF,rank,-0.6122,0.8,0.0,0,-0.015741,-0.0,0.0008,-0.0008,0.006382
2022-01-28,500ETF,Spot ETF,rank,-1.0321,0.8,0.0,0,0.00591,0.0,0.0,0.0,0.006382
2022-02-07,500ETF,Spot ETF,rank,1.2276,0.8,1.0,1,-0.002989,-0.002989,0.0008,-0.003789,0.002593
2022-02-08,500ETF,Spot ETF,rank,-0.5442,0.8,0.0,0,0.004553,0.0,0.0008,-0.0008,0.001793
2022-02-09,500ETF,Spot ETF,rank,0.9183,0.8,1.0,1,0.014388,0.014388,0.0008,0.013588,0.015381
2022-02-10,500ETF,Spot ETF,rank,-0.1093,0.8,0.0,0,-0.001402,-0.0,0.0008,-0.0008,0.014581
2022-02-11,500ETF,Spot ETF,rank,-0.1212,0.8,0.0,0,-0.01052,-0.0,0.0,-0.0,0.014581
2022-02-14,500ETF,Spot ETF,rank,0.4927,0.8,0.0,0,-0.012567,-0.0,0.0,-0.0,0.014581
2022-02-15,500ETF,Spot ETF,rank,0.3639,0.8,0.0,0,0.001156,0.0,0.0,0.0,0.014581
2022-02-16,500ETF,Spot ETF,rank,-0.3283,0.8,0.0,0,-0.002921,-0.0,0.0,-0.0,0.014581
2022-02-17,500ETF,Spot ETF,rank,-0.9254,0.8,0.0,0,0.001675,0.0,0.0,0.0,0.014581
2022-02-18,500ETF,Spot ETF,rank,0.998,0.8,1.0,1,0.004937,0.004937,0.0008,0.004137,0.018719
