date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.4426,0.8,0.0,0,0.002203,0.0,0.0,0.0,0.0
2022-01-05,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.9406,0.8,0.0,0,-0.005012,-0.0,0.0,-0.0,0.0
2022-01-06,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.0018,0.8,0.0,0,0.002217,0.0,0.0,0.0,0.0
2022-01-07,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7807,0.8,0.0,0,-0.006981,-0.0,0.0,-0.0,0.0
2022-01-10,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.757,0.8,0.0,0,0.005297,0.0,0.0,0.0,0.0
2022-01-11,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.3169,0.8,0.0,0,-0.007003,-0.0,0.0,-0.0,0.0
2022-01-12,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.245,0.8,0.0,0,0.00323,0.0,0.0,0.0,0.0
2022-01-13,500ETF,Future (IC88 (CSI 500 Futures)),rank,-1.0569,0.8,0.0,0,-0.005573,-0.0,0.0,-0.0,0.0
2022-01-14,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.4137,0.8,0.0,0,2.8e-05,0.0,0.0,0.0,0.0
2022-01-17,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7968,0.8,0.0,0,0.004251,0.0,0.0,0.0,0.0
2022-01-18,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.3852,0.8,0.0,0,-0.000865,-0.0,0.0,-0.0,0.0
2022-01-19,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7147,0.8,0.0,0,-0.011228,-0.0,0.0,-0.0,0.0
2022-01-20,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.0843,0.8,0.0,0,-0.004943,-0.0,0.0,-0.0,0.0
2022-01-21,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.8779,0.8,0.0,0,-0.004617,-0.0,0.0,-0.0,0.0
2022-01-24,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.1612,0.8,0.0,0,0.000744,0.0,0.0,0.0,0.0
2022-01-25,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.296,0.8,0.0,0,-0.02033,-0.0,0.0,-0.0,0.0
2022-01-26,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7481,0.8,0.0,0,0.001093,0.0,0.0,0.0,0.0
2022-01-27,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.4001,0.8,0.0,0,-0.01749,-0.0,0.0,-0.0,0.0
2022-01-28,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.7095,0.8,0.0,0,0.003681,0.0,0.0,0.0,0.0
2022-02-07,500ETF,Future (IC88 (CSI 500 Futures)),rank,1.0703,0.8,1.0,1,-0.004785,-0.004785,0.0008,-0.005585,-0.005585
2022-02-08,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.6601,0.8,0.0,0,0.006312,0.0,0.0008,-0.0008,-0.006385
2022-02-09,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7985,0.8,0.0,0,0.014964,0.0,0.0,0.0,-0.006385
2022-02-10,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.0807,0.8,0.0,0,-0.000469,-0.0,0.0,-0.0,-0.006385
2022-02-11,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.015,0.8,0.0,0,-0.009994,-0.0,0.0,-0.0,-0.006385
2022-02-14,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.2138,0.8,0.0,0,-0.011956,-0.0,0.0,-0.0,-0.006385
2022-02-15,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.0642,0.8,0.0,0,0.001902,0.0,0.0,0.0,-0.006385
2022-02-16,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.2676,0.8,0.0,0,-0.0013,-0.0,0.0,-0.0,-0.006385
2022-02-17,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.8928,0.8,0.0,0,-5.9e-05,-0.0,0.0,-0.0,-0.006385
2022-02-18,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.7476,0.8,0.0,0,0.00426,0.0,0.0,0.0,-0.006385
2022-02-21,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.0641,0.8,0.0,0,-0.000293,-0.0,0.0,-0.0,-0.006385
2022-02-22,500ETF,Future (IC88 (CSI 500 Futures)),rank,-1.101,0.8,0.0,0,0.000828,0.0,0.0,0.0,-0.006385
2022-02-23,500ETF,Future (IC88 (CSI 500 Futures)),rank,1.095,0.8,1.0,1,0.006776,0.006776,0.0008,0.005976,-0.00041
2022-02-24,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.17,0.8,0.0,0,-0.019137,-0.0,0.0008,-0.0008,-0.00121
2022-02-25,500ETF,Future (IC88 (CSI 500 Futures)),rank,1.1994,0.8,1.0,1,-0.012179,-0.012179,0.0008,-0.012979,-0.014189
2022-02-28,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.4247,0.8,0.0,0,0.006169,0.0,0.0008,-0.0008,-0.014989
2022-03-01,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.567,0.8,0.0,0,-0.00233,-0.0,0.0,-0.0,-0.014989
2022-03-02,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.4541,0.8,0.0,0,0.005489,0.0,0.0,0.0,-0.014989
2022-03-03,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.3808,0.8,0.0,0,-0.003091,-0.0,0.0,-0.0,-0.014989
2022-03-04,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.7247,0.8,0.0,0,-0.005964,-0.0,0.0,-0.0,-0.014989
2022-03-07,500ETF,Future (IC88 (CSI 500 Futures)),rank,-1.2204,0.8,-1.0,1,-0.009547,0.009547,0.0008,0.008747,-0.006241
2022-03-08,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.7601,0.8,0.0,0,-0.020997,-0.0,0.0008,-0.0008,-0.007041
2022-03-09,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.7282,0.8,0.0,0,-0.028827,-0.0,0.0,-0.0,-0.007041
2022-03-10,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.2792,0.8,0.0,0,-0.001095,-0.0,0.0,-0.0,-0.007041
2022-03-11,500ETF,Future (IC88 (CSI 500 Futures)),rank,-1.2333,0.8,-1.0,1,0.020718,-0.020718,0.0008,-0.021518,-0.028559
2022-03-14,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.2815,0.8,0.0,0,-0.018545,-0.0,0.0008,-0.0008,-0.029359
2022-03-15,500ETF,Future (IC88 (CSI 500 Futures)),rank,-1.5959,0.8,-1.0,1,-0.016509,0.016509,0.0008,0.015709,-0.01365
2022-03-16,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.6949,0.8,0.0,0,0.029807,0.0,0.0008,-0.0008,-0.01445
2022-03-17,500ETF,Future (IC88 (CSI 500 Futures)),rank,1.2622,0.8,1.0,1,0.004431,0.004431,0.0008,0.003631,-0.010819
2022-03-18,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.8135,0.8,1.0,1,0.011075,0.011075,0.0,0.011075,0.000256
2022-03-21,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.5279,0.8,0.0,0,-0.006824,-0.0,0.0008,-0.0008,-0.000544
2022-03-22,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.7099,0.8,0.0,0,-0.000794,-0.0,0.0,-0.0,-0.000544
2022-03-23,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.0099,0.8,0.0,0,0.004383,0.0,0.0,0.0,-0.000544
2022-03-24,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.9892,0.8,0.0,0,0.000982,0.0,0.0,0.0,-0.000544
2022-03-25,500ETF,Future (IC88 (CSI 500 Futures)),rank,0.2263,0.8,0.0,0,-0.013524,-0.0,0.0,-0.0,-0.000544
2022-03-28,500ETF,Future (IC88 (CSI 500 Futures)),rank,-0.9539,0.8,0.0,0,0.011408,0.0,0.0,0.0,-0.000544
