date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2025-01-02,500ETF,Spot ETF,sortino,-1.2518,0.8,0.0,0,-0.030734,0.0,0.0,0.0,0.0
2025-01-03,500ETF,Spot ETF,sortino,-0.5483,0.8,0.0,0,-0.017245,0.0,0.0,0.0,0.0
2025-01-06,500ETF,Spot ETF,sortino,0.1938,0.8,0.0,0,-0.007459,0.0,0.0,0.0,0.0
2025-01-07,500ETF,Spot ETF,sortino,0.8087,0.8,0.7001,1,0.005052,0.002783,0.00112,0.001663,0.001663
2025-01-08,500ETF,Spot ETF,sortino,-1.0689,0.8,0.0,0,0.003619,0.0,0.0,0.0,0.001663
2025-01-09,500ETF,Spot ETF,sortino,1.125,0.8,0.898,1,0.00198,0.000323,0.001437,-0.001114,0.000549
2025-01-10,500ETF,Spot ETF,sortino,0.4015,0.8,0.0,0,-0.009248,0.0,0.0,0.0,0.000549
2025-01-13,500ETF,Spot ETF,sortino,1.1109,0.8,0.8812,1,-0.001831,-0.001934,0.00141,-0.003343,-0.002794
2025-01-14,500ETF,Spot ETF,sortino,1.0079,0.8,0.781,1,0.016654,0.01197,0.00125,0.01072,0.007926
2025-01-15,500ETF,Spot ETF,sortino,-1.0068,0.8,0.0,0,-0.002316,0.0,0.0,0.0,0.007926
2025-01-16,500ETF,Spot ETF,sortino,1.4366,0.8,1.0,1,-0.009909,-0.010747,0.0016,-0.012347,-0.004421
2025-01-17,500ETF,Spot ETF,sortino,0.2918,0.8,0.0,0,0.011528,0.0,0.0,0.0,-0.004421
2025-01-20,500ETF,Spot ETF,sortino,0.4978,0.8,0.0,0,-0.008532,0.0,0.0,0.0,-0.004421
2025-01-21,500ETF,Spot ETF,sortino,-1.8208,0.8,-1.0,1,0.008036,-0.007346,0.0016,-0.008946,-0.013367
2025-01-22,500ETF,Spot ETF,sortino,-0.7533,0.8,0.0,0,0.005016,0.0,0.0,0.0,-0.013367
2025-01-23,500ETF,Spot ETF,sortino,-0.0628,0.8,0.0,0,-0.014182,0.0,0.0,0.0,-0.013367
2025-01-24,500ETF,Spot ETF,sortino,0.9632,0.8,0.7499,1,0.006564,0.004939,0.0012,0.003739,-0.009628
2025-01-27,500ETF,Spot ETF,sortino,-0.3594,0.8,0.0,0,-0.005335,0.0,0.0,0.0,-0.009628
2025-02-05,500ETF,Spot ETF,sortino,-1.4098,0.8,-0.7226,1,0.001249,-0.000774,0.001156,-0.00193,-0.011558
2025-02-06,500ETF,Spot ETF,sortino,0.9135,0.8,0.7242,1,0.017061,0.012723,0.001159,0.011564,6e-06
2025-02-07,500ETF,Spot ETF,sortino,1.1615,0.8,0.945,1,0.000517,-0.004488,0.001512,-0.006,-0.005994
2025-02-10,500ETF,Spot ETF,sortino,0.4837,0.8,0.0,0,0.002387,0.0,0.0,0.0,-0.005994
2025-02-11,500ETF,Spot ETF,sortino,-1.5248,0.8,-0.7948,1,0.00445,-0.002997,0.001272,-0.004269,-0.010262
2025-02-12,500ETF,Spot ETF,sortino,0.932,0.8,0.7327,1,0.002378,0.00262,0.001172,0.001448,-0.008815
2025-02-13,500ETF,Spot ETF,sortino,-0.5675,0.8,0.0,0,-0.002704,0.0,0.0,0.0,-0.008815
2025-02-14,500ETF,Spot ETF,sortino,0.9144,0.8,0.7245,1,0.003883,0.004051,0.001159,0.002892,-0.005923
2025-02-17,500ETF,Spot ETF,sortino,-1.0298,0.8,0.0,0,0.000505,0.0,0.0,0.0,-0.005923
2025-02-18,500ETF,Spot ETF,sortino,-0.1053,0.8,0.0,0,-0.018393,0.0,0.0,0.0,-0.005923
2025-02-19,500ETF,Spot ETF,sortino,0.5119,0.8,0.0,0,0.010509,0.0,0.0,0.0,-0.005923
2025-02-20,500ETF,Spot ETF,sortino,0.4041,0.8,0.0,0,0.005204,0.0,0.0,0.0,-0.005923
2025-02-21,500ETF,Spot ETF,sortino,-0.0326,0.8,0.0,0,0.019321,0.0,0.0,0.0,-0.005923
2025-02-24,500ETF,Spot ETF,sortino,-0.5547,0.8,0.0,0,-0.001988,0.0,0.0,0.0,-0.005923
2025-02-25,500ETF,Spot ETF,sortino,-0.2735,0.8,0.0,0,0.000167,0.0,0.0,0.0,-0.005923
2025-02-26,500ETF,Spot ETF,sortino,0.7924,0.8,0.0,0,0.004319,0.0,0.0,0.0,-0.005923
2025-02-27,500ETF,Spot ETF,sortino,-0.0572,0.8,0.0,0,-0.00133,0.0,0.0,0.0,-0.005923
2025-02-28,500ETF,Spot ETF,sortino,-1.2055,0.8,0.0,0,-0.014737,0.0,0.0,0.0,-0.005923
2025-03-03,500ETF,Spot ETF,sortino,0.5705,0.8,0.0,0,-0.008488,0.0,0.0,0.0,-0.005923
2025-03-04,500ETF,Spot ETF,sortino,0.7637,0.8,0.0,0,0.007109,0.0,0.0,0.0,-0.005923
2025-03-05,500ETF,Spot ETF,sortino,-0.1319,0.8,0.0,0,0.007267,0.0,0.0,0.0,-0.005923
2025-03-06,500ETF,Spot ETF,sortino,0.7635,0.8,0.0,0,0.005629,0.0,0.0,0.0,-0.005923
2025-03-07,500ETF,Spot ETF,sortino,0.0205,0.8,0.0,0,-0.003167,0.0,0.0,0.0,-0.005923
2025-03-10,500ETF,Spot ETF,sortino,-0.7676,0.8,0.0,0,0.003501,0.0,0.0,0.0,-0.005923
2025-03-11,500ETF,Spot ETF,sortino,0.9146,0.8,0.7246,1,0.003823,0.003382,0.001159,0.002223,-0.0037
2025-03-12,500ETF,Spot ETF,sortino,-0.6008,0.8,0.0,0,-0.000826,0.0,0.0,0.0,-0.0037
2025-03-13,500ETF,Spot ETF,sortino,-1.033,0.8,0.0,0,0.002172,0.0,0.0,0.0,-0.0037
2025-03-14,500ETF,Spot ETF,sortino,0.8711,0.8,0.7095,1,0.009569,0.00611,0.001135,0.004975,0.001275
2025-03-17,500ETF,Spot ETF,sortino,-0.4899,0.8,0.0,0,0.002131,0.0,0.0,0.0,0.001275
2025-03-18,500ETF,Spot ETF,sortino,0.0747,0.8,0.0,0,-0.004723,0.0,0.0,0.0,0.001275
2025-03-19,500ETF,Spot ETF,sortino,-1.1011,0.8,0.0,0,0.001645,0.0,0.0,0.0,0.001275
2025-03-20,500ETF,Spot ETF,sortino,-0.7978,0.8,0.0,0,-0.00033,0.0,0.0,0.0,0.001275
2025-03-21,500ETF,Spot ETF,sortino,0.023,0.8,0.0,0,-0.010151,0.0,0.0,0.0,0.001275
2025-03-24,500ETF,Spot ETF,sortino,0.0985,0.8,0.0,0,-0.004712,0.0,0.0,0.0,0.001275
2025-03-25,500ETF,Spot ETF,sortino,0.2807,0.8,0.0,0,-0.004534,0.0,0.0,0.0,0.001275
2025-03-26,500ETF,Spot ETF,sortino,1.0789,0.8,0.8459,1,-0.00403,-0.004389,0.001353,-0.005742,-0.004467
2025-03-27,500ETF,Spot ETF,sortino,-0.5899,0.8,0.0,0,0.004372,0.0,0.0,0.0,-0.004467
2025-03-28,500ETF,Spot ETF,sortino,0.0101,0.8,0.0,0,-0.003373,0.0,0.0,0.0,-0.004467
2025-03-31,500ETF,Spot ETF,sortino,-0.0127,0.8,0.0,0,-0.007491,0.0,0.0,0.0,-0.004467
2025-04-01,500ETF,Spot ETF,sortino,1.0241,0.8,0.7942,1,-0.001188,-0.001347,0.001271,-0.002617,-0.007085
2025-04-02,500ETF,Spot ETF,sortino,0.8579,0.8,0.7063,1,-0.005082,-0.002748,0.00113,-0.003878,-0.010963
2025-04-03,500ETF,Spot ETF,sortino,0.9872,0.8,0.7657,1,-0.004441,-0.003523,0.001225,-0.004748,-0.015711
2025-04-07,500ETF,Spot ETF,sortino,-0.6631,0.8,0.0,0,-0.029367,0.0,0.0,0.0,-0.015711
2025-04-08,500ETF,Spot ETF,sortino,1.0021,0.8,0.7766,1,-0.01079,-0.006304,0.001243,-0.007547,-0.023258
2025-04-09,500ETF,Spot ETF,sortino,-1.0315,0.8,0.0,0,0.031861,0.0,0.0,0.0,-0.023258
2025-04-10,500ETF,Spot ETF,sortino,0.5823,0.8,0.0,0,-0.009861,0.0,0.0,0.0,-0.023258
2025-04-11,500ETF,Spot ETF,sortino,1.0718,0.8,0.8385,1,0.005567,0.004378,0.001342,0.003036,-0.020222
2025-04-14,500ETF,Spot ETF,sortino,0.1461,0.8,0.0,0,-0.001068,0.0,0.0,0.0,-0.020222
2025-04-15,500ETF,Spot ETF,sortino,-1.9402,0.8,-1.0,1,0.002152,-0.002334,0.0016,-0.003934,-0.024156
2025-04-16,500ETF,Spot ETF,sortino,-0.9658,0.8,0.0,0,-0.008658,0.0,0.0,0.0,-0.024156
2025-04-17,500ETF,Spot ETF,sortino,1.5814,0.8,1.0,1,-0.005021,-0.005008,0.0016,-0.006608,-0.030764
2025-04-18,500ETF,Spot ETF,sortino,-0.1578,0.8,0.0,0,0.00577,0.0,0.0,0.0,-0.030764
2025-04-21,500ETF,Spot ETF,sortino,1.1454,0.8,0.9237,1,0.008374,0.007601,0.001478,0.006123,-0.024641
2025-04-22,500ETF,Spot ETF,sortino,-0.4109,0.8,0.0,0,0.000356,0.0,0.0,0.0,-0.024641
2025-04-23,500ETF,Spot ETF,sortino,-0.2525,0.8,0.0,0,-0.000888,0.0,0.0,0.0,-0.024641
2025-04-24,500ETF,Spot ETF,sortino,-0.0753,0.8,0.0,0,-0.004449,0.0,0.0,0.0,-0.024641
2025-04-25,500ETF,Spot ETF,sortino,0.1974,0.8,0.0,0,0.002315,0.0,0.0,0.0,-0.024641
2025-04-28,500ETF,Spot ETF,sortino,-1.2436,0.8,0.0,0,0.002505,0.0,0.0,0.0,-0.024641
2025-04-29,500ETF,Spot ETF,sortino,0.064,0.8,0.0,0,0.000536,0.0,0.0,0.0,-0.024641
2025-04-30,500ETF,Spot ETF,sortino,1.1683,0.8,0.9543,1,0.0016,0.002208,0.001527,0.000681,-0.02396
2025-05-06,500ETF,Spot ETF,sortino,0.7227,0.8,0.0,0,0.005782,0.0,0.0,0.0,-0.02396
2025-05-07,500ETF,Spot ETF,sortino,-1.4201,0.8,-0.7271,1,-0.006618,0.004921,0.001163,0.003758,-0.020202
2025-05-08,500ETF,Spot ETF,sortino,0.9828,0.8,0.7627,1,0.001213,0.001588,0.00122,0.000368,-0.019834
2025-05-09,500ETF,Spot ETF,sortino,-1.0335,0.8,0.0,0,-0.004534,0.0,0.0,0.0,-0.019834
2025-05-12,500ETF,Spot ETF,sortino,0.1326,0.8,0.0,0,0.002599,0.0,0.0,0.0,-0.019834
2025-05-13,500ETF,Spot ETF,sortino,-1.2907,0.8,0.0,0,-0.003626,0.0,0.0,0.0,-0.019834
2025-05-14,500ETF,Spot ETF,sortino,-0.4819,0.8,0.0,0,0.003287,0.0,0.0,0.0,-0.019834
